      Name     Count      Kcal     Price
  badimcan        20       150       0.4
       duz       118        30       0.1
   gobelek        80        25       0.2
     kelem         5       150         6
   kolbasa        40       100       0.1
    maleti         3       200       1.2
   pomidor        19        70       0.3
     qatiq        20        70       0.4
  qoyuneti        19       200         1
   sausage        60       150      0.25
     sogan        20        60      0.25
        su        45       100       0.5
     xiyar        24        50       0.2
       yag        55        10       0.5
   yerkoku        50        70       2.5
   yumurta        32       150      0.35
   zeferan       200        20       0.3
